NAME	ENTREZ_ID
SPRY2	395584
PCDH20	428063
NDFIP2	418803
RBM26	418804
RNF219	418805
POU4F1	100857623
EDNRB	408082
SLAIN1	418807
SCEL	101751260
MYCBP2	418808
FBXL3	428048
CLN5	101752092
GATD3AL1	418811
ACOD1	418812
KCTD12	107051871
LMO7	418815
UCHL3	395626
COMMD6	769778
TBC1D4	428062
KLF12	418817
KLF5	418818
PIBF1	418820
DIS3	418821
BORA	769298
MZT1	418822
DACH1	373935
KLHL1	418799
PCDH9	418800
gga-mir-7445-2	102465722
gga-mir-7445-2	102466827
gga-mir-1743	100315815
POT1	404538
LSMEM1	417778
IFRD1	395226
CTTNBP2	417766
CFTR	100049619
ASZ1	417768
MOV10L1	417738
PANX2	426934
TES	395332
TFEC	417773
PLXNB2	425938
ZNF800	417747
GRM8	427853
DNAJB9	417783
THAP5	417784
TSPAN12	417763
AASS	417757
PTPRZ1	396403
ZNF277	427859
FAM3C	417758
LRRN3	770169
DOCK4	417779
WNT16	427856
CPED1	417761
ING3	417762
IMMP2L	417780
MDFIC	417774
FOXP2	769935
KCND2	374143
ASB11	101749218
ANKRD26	417764
GPR37	417748
VEGFD	395255
LSM8	417765
ASB9	418625
PRKX	418656
ANOS1	396395
GPR85	417775
BMT2	417776
NLGN4	428006
TMEM168	417777
BMX	428003
WNT2	417769
GRPR	378928
CAPZA2	417771
AP1S2	418621
ZRSR2	428002
MET	396134
TMEM27	418622
CAV2	417772
ACE2	418623
PPP1R3A	101747406
ASMT	396286
TRABD	417746
SELENOO	417745
AKAP17A	418664
FHIP1B	425130
TUBGCP6	769701
CNGA4	430630
CCKBR	414885
HDAC10	417742
SMPD1	419077
TBLX1	426045
APBB1	100859045
PIGA	418624
MAPK12	769763
HPX	NA
TRIM3	425131
MOSPD2	418627
ARFIP2	419075
MAPK11	417739
FANCB	418628
TIMM10B	107052461
ARL8BL	769134
RPS11	419049
GLRA2	772019
SPAM1	417749
SHOX	418669
HYAL6	105667218
SYAP1	418619
WASL	417750
ILK	374018
CTPS2	418620
LMOD2	417751
TAF10	107052460
ASB15	417752
NDUFA5	417753
DCHS1	419073
IQUB	417754
LCMT2	419072
ATP6AP1	427854
PNPLA4	418653
SLC13A1	770198
STARD10	NA
STS	418654
PUDP	418655
CADPS2	417756
AVPR2C	427860
ARRB1	107051449
PNPLA8	417785
WDR73	425698
NRCAM	396202
CNTN1	417786
P2RY8	418665
SLCO2B1	419051
ASMTL	769097
SLC25A6	374072
PGM2L1	419052
KCNE3	428105
LIPT2	107052471
PDZRN4	417787
POLD3	419053
CSF2RA	418666
ZCRB1	417791
TAB3	418588
PPHLN1	417792
PRICKLE1	417793
CHRDL2	419054
ADAMTS20	417794
RNF169	419055
XRRA1	769715
CYBB	418581
PUS7L	417795
CRLF2	418668
XK	427991
IRAK4	417796
SMPX	771780
NEU3	430542
NEU3	419056
KLHL34	418604
P4HA3	419057
TLR7	418638
TWF1	417797
PRPS2	418639
NARS2	419026
USP35	419030
TMEM117	417798
FEZF1	100859279
CNKSR2	427997
FRMPD4	418640
KCTD21	428098
ALG8	428097
MSL3	418641
NDUFC2	404751
ARHGAP6	418642
THRSP	404755
DMD	396236
KCTD14	419029
INTS4	419028
MID1	373920
CLCN4	428005
WWC3	418649
AAMDC	425610
RSF1	426483
CLNS1A	425500
ARX	107057587
POLA1	418593
AQP11	426725
PCYT1B	418594
PAK1	419083
GDPD4	419084
PDK3	418595
MYO7A	419085
CLDN34	101749507
SLC51AL	772218
OMP	101749160
OMP	419086
CDKL5	428001
SHROOM2	418651
GPR143	418652
ACER3	419087
MXRA5	418657
ARSH	378798
GK2	418589
CXorf21	100857674
NR0B1	395285
gga-mir-7447	102466231
gga-mir-1645	100316010
gga-mir-12208	114482957
gga-mir-1695	100315920
IMMP2L	NA
IL1RAPL1	427993
ST7	417770
TSKU	419088
CAV1	373996
GYG2	418660
YAF2	417790
GUCY2D	419089
GXYLT1	417789
PRRG1	418582
LRRC32	428121
C1HXORF59	418583
XG	418661
TMEM47	418585
CD99	418662
SCML2	418613
THAP12	428122
ZBED1	418663
UFM1	418894
WNT11	395562
FREM2	418893
DHRSX	428007
TRPC4	418895
RAI2	418614
UVRAG	419091
GEMIN8	418631
BEND2	772331
POSTN	395429
ART1A	428124
NHS	418616
TDRD3	418823
ART1D	428123
REPS2	418617
GPM6B	418632
IL18BP	107052452
RBBP7	395390
TXLNG	418618
DIAPH3	418824
OFD1	418633
RNF175	419092
XNDC1N	100857925
PCDH17	418825
TRAPPC2	418634
TMEM272	112531573
NIPA1	418681
CASK	418565
NUMA1	768717
GPR34	771199
ATP7B	418879
GPR82	101750076
LRRC51	107052453
RAB9A	418635
ALG11	418880
NEK5	418881
NYX	418566
PPP2R3B	418670
LAMTOR1	100857186
LRTOMT	100857436
FOLR3	112532752
NEK3	770196
DDX3X	418567
PPME1	419058
CKAP2	418882
RPL8	418568
TCEANC	418636
USP9Y	418569
C2CD3	419059
VPS36	418883
DNAJB13	419060
MED14	418572
STAG3	418671
UCP3	373896
THSD1	418884
ATP6AP2	418573
EGFL6	418637
FGL1B	428073
PAAF1	419061
TMSB4X	408047
COA4	NA
GTPBP6	418672
BCOR	418574
MRPL48	419062
TPTE	418885
RPS6KA3	418605
PLCXD1	418673
RGNL	428008
RAB6A	419063
SLC25A15	418886
MID1IP1	404752
MRPS31	418887
RGN	395480
FOXO1	374231
FAM168A	419066
EIF1AX	418606
PLEKHB1	419064
COG6	418888
LHFPL1	418889
JADE3	418674
RELT	419067
NHLRC3	418890
TSPAN7	418577
RP2	418675
PROSER1	418891
SLC9A7	418676
STOML3	428074
MAP7D2	418607
OTC	395735
C4A	418892
CXorf23	100858121
TUBGCP5	100858683
P2RY6	396114
SH3KBP1	418608
TRIM13	418872
DLEU7	101750559
CYFIP1	418677
SRPX	418579
NIPA2	418680
RNASEH2B	418874
P2RY2	428108
MAP3K15	418609
HERC2	418682
FAM124A	770395
FCHSD2	419068
OCA2	428009
SERPINE3	418875
GABRG3	770097
RPS3	419069
SERPINH1	396228
INTS6	418876
GABRA5	418684
PDHA2	418610
SYTL5	427990
GABRB3	396290
GDPD5	419070
WDFY2	770107
CHST7	107051963
ADGRG2	418611
DHRS12	770438
OLFM4	418826
DYNLT3	418580
KLHL35	101747275
PCDH8	428065
LECT1	395600
MAP6	395753
PHKA2	418612
MOGAT2	426437
SUGT1	418827
PPEF1	427999
DGAT2	421309
RS1	772315
ART1E	395661
ZFX	418596
ELF1	418828
EIF2S3	418597
ART1F	396008
KLHL15	418598
ART1	107052467
WBP4	418829
CHRNA10	430628
APOO	418599
SAT1	374006
NUP98	430616
PGAP2	100859632
MTRF1	418830
NAA16	418832
RHOG	100859599
RGCC	418833
ACOT9	418600
PRDX4	418601
STIM1	419082
gga-mir-1397	100315695
gga-mir-7448	102465724
gga-mir-1805	100316000
RRM1	419081
VWA8	428066
PHEX	395777
DGKH	769506
SMS	418602
AKAP11	418835
MBTPS2	427996
TNFSF11	428067
REG1A	418836
OR51E2	419080
EPSTI1	418837
OR51M1	428116
DNAJC15	418838
HBE1	428114
ENOX1	418839
FOLR1	395638
LACC1	418840
CCDC122	428068
TSC22D1	396005
OR52B2L	428111
OR52B2	428110
NUFIP1	418841
GPALPP1	418842
TPBGL	769834
GTF2F2	418843
KCTD4	769400
THRSPB	101748650
THRSPB	404756
OR52L1	100859796
OR52R1	428117
TPT1	396363
SLC25A30	418845
COG3	418846
U1	NA
SPERT	418848
SIAH3	418849
RPGR	418578
ZC3H13	418850
CPB2	418851
LCP1	418852
SNORD15	112531620
SNORD15	112531619
SNORD15	112531621
gga-mir-1708	100315795
gga-mir-12289-1	NA
TPP1	425576
GAB2	419027
RUBCNL	418854
ART1B	428125
LRCH1	418855
ESD	418856
SUCLA2	418857
NUDT15	418858
HBBA	396485
MED4	418859
ITM2B	395969
RB1	386582
LPAR6	396118
RCBTB2	418861
CYSLTR2	428071
FNDC3A	418863
MLNR	428072
CDADC1	418864
CAB39L	418865
SETDB2	418866
ARL11	418869
PHF11	418867
KPNA3	418870
SPRYD7	418871
APOV1	396476
ILDR1	418358
CFAP44	418359
BOC	418361
EPHA6	374008
CLDND1	418357
C1H3ORF52	418422
ABHD10	418419
TAGLN3	418420
TMPRSS7	769974
ZPLD1	418405
CDX2	374205
PDX1	771348
GSX1	107052208
ELMOD1	418971
SNORA31	112531626
5S_rRNA	NA
gga-mir-15a	777940
gga-mir-16-1	777939
gga-mir-6555	102465322
BBX	418407
gga-mir-12214	114482982
ALKBH8	418972
CD47	418408
FLT3	100858422
IFT57	418409
HTR2A	428070
RCBTB1	418868
ZC3H12C	418963
ATM	395401
HHLA2	107054979
NPAT	418967
C11orf87	418964
MYH15	395534
ACAT1	418968
CUL5	418969
CIP2A	418410
DDX10	418965
SH2D1B	418411
RAB39A	101748614
SLC35F2	418970
TRAT1	418412
SLN	100857277
HJURP	418413
GUCA1C	121109303
EXPH5	101748418
KDELC2	418966
NECTIN3	418415
SLC46A3	418924
POMP	418925
PLCXD2	418417
PHLDB2	418418
MTIF3	418930
LNX2	101749023
DCT	395775
GTF3A	418931
ALCAM	396092
CWF19L2	418973
VMO1	418974
GPC6	418794
METTL21C	418768
CBLB	418406
GUCY1A2	771678
TPP2	428020
AASDHPPT	418975
NEPRO	418364
FGF14	395554
KBTBD3	418976
MSANTD4	418977
SPIRE1L	418362
ITGBL1	418769
TAF13	418365
GTPBP8	418366
NALCN	418770
GRIA4	396137
GATA3	419106
CD200R1B	418367
TMTC4	418772
RAP2A	769797
SFMBT2	425485
CCDC80	395074
PDGFD	418978
SLC35A5	418368
ITIH5	419111
ATG3	418369
ITIH2	419110
DYNC2H1	418979
SLC19A2	427957
KIN	419109
MBNL2	418784
CCDC181	418370
FLT1	374100
ATP5C1	419108
OXGR1	428023
TAF3	419107
BLZF1	418371
PAN3	418926
PSPC1	418955
MPHOSPH8	418957
PARP4	418958
CHCHD3	418435
HS6ST3	NA
CENPJ	418960
PLXNA4	427941
NME7	100858145
UGGT2	418785
RNF17	NA
ARHGAP20	418962
FDX1	373947
DNAJC3	418787
CAMK1D	425522
ATP1B1	396529
RDX	395511
CCDC3	769832
DPT	768904
DZIP1	418789
XCL1	395914
FGF9	378917
OPTN	374079
CPOX	418377
CLDN10	418790
MCM10	429525
PHYH	426601
MICU2	418946
SEPHS1	426612
ABCC4	418791
BEND7	419037
PRKCQ	776459
DHRS4	426247
ST3GAL6	395138
ELAPOR2	418645
ZDHHC20	418947
GRM3	418644
GPC5	418795
GPR180	418792
TBX19	395793
SFT2D2	418373
MRPL57	771615
TIPRL	418374
GPR161	418375
SEMA3D	396332
TGDS	418793
SKA3	418948
TTF2	418376
LATS2	418949
SEMA3A	395825
COL8A1	418378
XPO4	428081
IRF5	430409
DCBLD2	418379
GGACT	418773
TNPO3	426277
SMO	395949
AHCYL2	416675
TMEM30CP	418380
EEF1AKMT1	418951
PCCA	418774
ZIC2	428021
STRIP2	416676
ZIC5	107051270
IL-17D	NA
IFT88	418952
NRF1	416677
CRYL1	418953
CMSS1	418381
FILIP1L	769163
CLYBL	NA
TM9SF2	418777
TBC1D23	418383
GJB6	395771
CELF2	374111
NIT2	418386
TOMM70	418387
USP6NL	419104
UBAC2	418778
LNP1	418388
GJA3	428084
TMEM45A	418389
ADGRG7	418390
PRPF18	419036
ECHDC3	419098
PROSER2	419101
GPR183	NA
ZMYM2	418954
GPR18	100858263
TFG	418391
RASL11A	418932
RPL21	418933
FRMD4A	419035
UPF2	419100
DOCK9	418779
USP12	428078
SEC61A2	426369
GPR12	428079
WASF3	418934
SLC15A1	378789
ABI3BP	769237
STK24	418780
CDK8	428080
FAM107B	426376
SLITRK5	100859280
IMPG2	418393
RNF6	418935
NUDT5	426368
SLITRK6	418797
ATP8A2	418936
SLITRK1	418798
TXNL4B	769280
TXNL4B	418396
HSPA14	418802
SHISA2	395162
SUV39H2	426314
NUP58	418937
FARP1	418781
DCLRE1C	430764
IPO5	418783
TRMT10C	418397
CDC123	426366
MTMR6	418938
SLC10A2	428018
AMER2	418939
FAM172BP	418395
ERCC5	428019
MEIG1	769589
METTL21EP	769178
PCNP	418398
ZBTB11	418400
TMEM243	418647
BIVM	374099
RPL24	418401
KDELC1	418766
DMTF1	418646
TEX30	418767
CEP97	418402
SOX21	107051027
PODXL	395755
SPATA13	418940
C1QTNF9B	771538
NXPE3	418403
MKLN1	418250
MIPEP	418942
K123	395873
TNFRSF19	418943
NFKBIZ	418404
IL2RA	395294
CD200L	418424
RBM17	418248
SACS	418944
CGGBP1	770224
SGCG	418945
ZNF654	418428
C3orf38	418429
EPHA3	396402
PFKFB3	418247
SUPT20H	418896
SEMA3E	374089
PROS1	418430
PCLO	395319
EXOSC8	100858560
PAX4	NA
ARL13B	418431
ARF5	396265
GCC1	430581
ALG5	418898
U7	112531618
gga-mir-19a	777936
gga-mir-92-1	777933
gga-mir-18a	777937
gga-mir-19b	777934
gga-mir-17	777938
gga-mir-20a	777935
gga-mir-2984	114482978
DENND6B	426252
STX19	770351
SMAD9	395543
RFXAP	418899
NSUN3	418432
PPP6R2	430580
SERTM1	418900
CCNA1	418901
SBF1	417071
SPG20	418902
CCDC169	101751930
ADM2	112532887
LMF2	429380
LSAMP	395687
NCAPH2	426276
SCO2	429671
DCLK1	418903
GAP43	427955
UBE2H	416678
NBEA	395195
ZBTB20	100859265
ZC3HC1	416679
KLHDC10	427683
DRD3	770757
RFC3	418907
TMEM209	416681
ZDHHC23	418353
CPA2	416682
CPA5	416683
CPA1	395276
CCDC191	418352
CEP41	416684
STARD13	418908
MEST	427684
KL	418909
GRAMD1C	418354
COPG2	416685
FBXO18	416687
PLA2G10L	418356
GPR15	427956
PDS5B	418910
ANKRD16	416688
N4BP2L2	418912
N4BP2L1	418914
BRCA2	374139
ZAR1L	771155
FAM208B	416689
FRY	418915
ASB13	416691
CALML3	416692
NET1	416693
TUBAL3	416694
B3GLCT	428075
HSPH1	418917
UCN3	769274
ALOX5AP	770904
USPL1	395436
SLC35B4	416698
LRGUK	416699
EXOC4	416700
HMGB1	395724
KATNAL1	418920
NCAM2	427968
UBL3	418921
SLC7A1	418922
ARL6	418433
ARL6	418437
MINA	418436
GJB2	428083
VGLL3	418462
MAB21L1	395208
gga-mir-7446	102465723
gga-mir-1690	100315785
