"Pathway_ID","Description","Species","PNG_File","PDF_File"
"gga04210","Apoptosis","gga","pathview/gga04210.logFC_apoptosis_labeled.png","pathview/gga04210.logFC_apoptosis.pdf"
"ko04210","Apoptosis","ko","pathview/ko04210.logFC_apoptosis_ko_labeled.png","pathview/ko04210.logFC_apoptosis_ko.pdf"
"gga04216","Pyroptosis","gga","pathview/gga04216.logFC_pyroptosis_labeled.png","pathview/gga04216.logFC_pyroptosis.pdf"
"ko04216","Pyroptosis","ko","pathview/ko04216.logFC_pyroptosis_ko_labeled.png","pathview/ko04216.logFC_pyroptosis_ko.pdf"
"gga04217","Necroptosis","gga","pathview/gga04217.logFC_necroptosis_labeled.png","pathview/gga04217.logFC_necroptosis.pdf"
"ko04217","Necroptosis","ko","pathview/ko04217.logFC_necroptosis_ko_labeled.png","pathview/ko04217.logFC_necroptosis_ko.pdf"
"gga04225","Pyroptosis_ko","gga","pathview/gga04225.logFC_pyroptosis_ko.png","pathview/gga04225.logFC_pyroptosis_ko.pdf"
"ko04225","Pyroptosis_ko","ko","pathview/ko04225.logFC_pyroptosis_ko_ko.png","pathview/ko04225.logFC_pyroptosis_ko_ko.pdf"
"gga04066","HIF-1 signaling","gga","pathview/gga04066.logFC_hif_1_signaling.png","pathview/gga04066.logFC_hif_1_signaling.pdf"
"ko04066","HIF-1 signaling","ko","pathview/ko04066.logFC_hif_1_signaling_ko_labeled.png","pathview/ko04066.logFC_hif_1_signaling_ko.pdf"
"gga04370","VEGF signaling","gga","pathview/gga04370.logFC_vegf_signaling_labeled.png","pathview/gga04370.logFC_vegf_signaling.pdf"
"ko04370","VEGF signaling","ko","pathview/ko04370.logFC_vegf_signaling_ko_labeled.png","pathview/ko04370.logFC_vegf_signaling_ko.pdf"
"gga04512","ECM-receptor interaction","gga","pathview/gga04512.logFC_ecm_receptor_interaction_labeled.png","pathview/gga04512.logFC_ecm_receptor_interaction.pdf"
"ko04512","ECM-receptor interaction","ko","pathview/ko04512.logFC_ecm_receptor_interaction_ko_labeled.png","pathview/ko04512.logFC_ecm_receptor_interaction_ko.pdf"
"gga04510","Focal adhesion","gga","pathview/gga04510.logFC_focal_adhesion_labeled.png","pathview/gga04510.logFC_focal_adhesion.pdf"
"ko04510","Focal adhesion","ko","pathview/ko04510.logFC_focal_adhesion_ko_labeled.png","pathview/ko04510.logFC_focal_adhesion_ko.pdf"
"gga00590","Arachidonic acid metabolism","gga","pathview/gga00590.logFC_arachidonic_acid_metabolism_labeled.png","pathview/gga00590.logFC_arachidonic_acid_metabolism.pdf"
"ko00590","Arachidonic acid metabolism","ko","pathview/ko00590.logFC_arachidonic_acid_metabolism_ko_labeled.png","pathview/ko00590.logFC_arachidonic_acid_metabolism_ko.pdf"
"gga04380","Osteoclast differentiation","gga","pathview/gga04380.logFC_osteoclast_differentiation.png","pathview/gga04380.logFC_osteoclast_differentiation.pdf"
"ko04380","Osteoclast differentiation","ko","pathview/ko04380.logFC_osteoclast_differentiation_ko_labeled.png","pathview/ko04380.logFC_osteoclast_differentiation_ko.pdf"
"gga04382","Development and regeneration","gga","pathview/gga04382.logFC_development_and_regeneration_labeled.png","pathview/gga04382.logFC_development_and_regeneration.pdf"
"ko04382","Development and regeneration","ko","pathview/ko04382.logFC_development_and_regeneration_ko_labeled.png","pathview/ko04382.logFC_development_and_regeneration_ko.pdf"
"gga04350","TGF-beta signaling","gga","pathview/gga04350.logFC_tgf_beta_signaling_labeled.png","pathview/gga04350.logFC_tgf_beta_signaling.pdf"
"ko04350","TGF-beta signaling","ko","pathview/ko04350.logFC_tgf_beta_signaling_ko_labeled.png","pathview/ko04350.logFC_tgf_beta_signaling_ko.pdf"
"gga04010","MAPK signaling","gga","pathview/gga04010.logFC_mapk_signaling_labeled.png","pathview/gga04010.logFC_mapk_signaling.pdf"
"ko04010","MAPK signaling","ko","pathview/ko04010.logFC_mapk_signaling_ko_labeled.png","pathview/ko04010.logFC_mapk_signaling_ko.pdf"
"gga04060","Cytokine-cytokine receptor interaction","gga","pathview/gga04060.logFC_cytokine_cytokine_receptor_interaction_labeled.png","pathview/gga04060.logFC_cytokine_cytokine_receptor_interaction.pdf"
"ko04060","Cytokine-cytokine receptor interaction","ko","pathview/ko04060.logFC_cytokine_cytokine_receptor_interaction_ko_labeled.png","pathview/ko04060.logFC_cytokine_cytokine_receptor_interaction_ko.pdf"
"ko04380","Osteoclast differentiation (forced ko map)","ko","pathview/ko04380.logFC_osteoclast_forced_ko_labeled.png","pathview/ko04380.logFC_osteoclast_forced_ko.pdf"
