gene_id	symbol	label	log2FC_used	padj	present_in_data	node_status	signif_flag
ENSGALG00010028914	TLR4	TLR4	-3.03932388391917	1.1020955286901e-12	TRUE	Present; significant	TRUE
ENSGALG00010026550	MYD88	MYD88	-0.0878473959574241	0.701076126582733	TRUE	Present; not significant	FALSE
ENSGALG00010001879	IRAK4	IRAK4	0.3391755618127	0.0971153558558123	TRUE	Present; not significant	FALSE
ENSGALG00010025204	TRAF6	TRAF6	0.288952501553179	0.161897883318631	TRUE	Present; not significant	FALSE
ENSGALG00010005476	NFKB1	NF-κB	0.610106933530188	1.06775327346124e-5	TRUE	Present; significant	TRUE
ENSGALG00010001277	RELA	RelA	0.254400649593365	0.202068083504206	TRUE	Present; not significant	FALSE
NA	NLRP3	NLRP3↑	NA	NA	FALSE	Missing gene	FALSE
NA	IL1B	pro-IL-1β	NA	NA	FALSE	Missing gene	FALSE
NA	NLRP3	NLRP3	NA	NA	FALSE	Missing gene	FALSE
ENSGALG00010012413	NEK7	NEK7	0.634577149615381	0.00127838679922745	TRUE	Present; significant	TRUE
NA	TXNIP	TXNIP	-1.50255364293008	2.44134024385852e-12	TRUE	Present; significant	TRUE
NA	PYCARD	ASC	NA	NA	FALSE	Missing gene	FALSE
NA	AIM2	AIM2	NA	NA	FALSE	Missing gene	FALSE
NA	NLRC4	NLRC4	NA	NA	FALSE	Missing gene	FALSE
ENSGALG00010029604	CASP1	CASP1	-0.137959075367057	0.550855665314848	TRUE	Present; not significant	FALSE
NA	IL1B	IL-1β	NA	NA	FALSE	Missing gene	FALSE
ENSGALG00010025073	IL18	IL-18	-0.106877091064047	0.790642386222625	TRUE	Present; not significant	FALSE
NA	GSDMD	GSDMD	NA	NA	FALSE	Missing gene	FALSE
